l,t,freq,S21
1,0.4,13,-0.674255945
1,0.4,13.1,-0.682735557
1,0.4,13.2,-0.691231227
1,0.4,13.3,-0.699741852
1,0.4,13.4,-0.708266375
1,0.4,13.5,-0.716803791
1,0.4,13.6,-0.725353149
1,0.4,13.7,-0.733913559
1,0.4,13.8,-0.7424842
1,0.4,13.9,-0.751064319
1,0.4,14,-0.759653245
1,0.4,14.1,-0.768250389
1,0.4,14.2,-0.776855258
1,0.4,14.3,-0.785467457
1,0.4,14.4,-0.794086706
1,0.4,14.5,-0.802712843
1,0.4,14.6,-0.811345835
1,0.4,14.7,-0.819985791
1,0.4,14.8,-0.828632965
1,0.4,14.9,-0.837287767
1,0.4,15,-0.845950764
1,0.4,15.1,-0.854622685
1,0.4,15.2,-0.863304422
1,0.4,15.3,-0.871997026
1,0.4,15.4,-0.880701705
1,0.4,15.5,-0.88941982
1,0.4,15.6,-0.898152875
1,0.4,15.7,-0.906902514
1,0.4,15.8,-0.915670507
1,0.4,15.9,-0.924458746
1,0.4,16,-0.933269235
1.1,0.2,2,-0.025878664
1.1,0.2,2.1,-0.028368248
1.1,0.2,2.2,-0.030961292
1.1,0.2,2.3,-0.033655584
1.1,0.2,2.4,-0.036448884
1.1,0.2,2.5,-0.039338937
1.1,0.2,2.6,-0.042323478
1.1,0.2,2.7,-0.045400241
1.1,0.2,2.8,-0.048566971
1.1,0.2,2.9,-0.051821428
1.1,0.2,3,-0.055161397
1.1,0.2,3.1,-0.058584698
1.1,0.2,3.2,-0.062089188
1.1,0.2,3.3,-0.065672778
1.1,0.2,3.4,-0.06933343
1.1,0.2,3.5,-0.073069173
1.1,0.2,3.6,-0.0768781
1.1,0.2,3.7,-0.080758385
1.1,0.2,3.8,-0.084708279
1.1,0.2,3.9,-0.088726119
1.1,0.2,4,-0.092810335
1.1,0.2,4.1,-0.096959451
1.1,0.2,4.2,-0.101172089
1.1,0.2,4.3,-0.105446972
1.1,0.2,4.4,-0.109782929
1.1,0.2,4.5,-0.114178894
1.1,0.2,4.6,-0.118633906
1.1,0.2,4.7,-0.123147116
1.1,0.2,4.8,-0.127717779
1.1,0.2,4.9,-0.132345261
1.1,0.2,5,-0.137029032
1.1,0.2,5.1,-0.141768669
1.1,0.2,5.2,-0.146563849
1.1,0.2,5.3,-0.151414352
1.1,0.2,5.4,-0.156320051
1.1,0.2,5.5,-0.161280915
1.1,0.2,5.6,-0.166297
1.1,0.2,5.7,-0.171368446
1.1,0.2,5.8,-0.176495472
1.1,0.2,5.9,-0.181678369
1.1,0.2,6,-0.186917498
1.1,0.2,6.1,-0.192213277
