"l [mm]","t [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
1.1,0.2,14.4,-0.835338174113972
1.1,0.2,14.5,-0.844996334694861
1.1,0.2,14.6,-0.854695871086394
1.1,0.2,14.7,-0.864437895144461
1.1,0.2,14.8,-0.8742236186038
1.1,0.2,14.9,-0.884054357383142
1.1,0.2,15,-0.893931536186641
1.1,0.2,15.1,-0.903856693401786
1.1,0.2,15.2,-0.913831486293532
1.1,0.2,15.3,-0.923857696494767
1.1,0.2,15.4,-0.933937235792834
1.1,0.2,15.5,-0.944072152215531
1.1,0.2,15.6,-0.954264636420701
1.1,0.2,15.7,-0.964517028397111
1.1,0.2,15.8,-0.974831824490629
1.1,0.2,15.9,-0.985211684772587
1.1,0.2,16,-0.995659440776953
1.1,0.3,2,-0.0301334160668176
1.1,0.3,2.1,-0.0325428534388601
1.1,0.3,2.2,-0.0350240843679302
1.1,0.3,2.3,-0.037578024259343
1.1,0.3,2.4,-0.0402055758127545
1.1,0.3,2.5,-0.0429075939493467
1.1,0.3,2.6,-0.0456848624265351
1.1,0.3,2.7,-0.0485380792892993
1.1,0.3,2.8,-0.051467848883066
1.1,0.3,2.9,-0.0544746786464326
1.1,0.3,3,-0.0575589793108533
1.1,0.3,3.1,-0.0607210674636834
1.1,0.3,3.2,-0.0639611696919851
1.1,0.3,3.3,-0.0672794277277017
1.1,0.3,3.4,-0.0706759041708529
1.1,0.3,3.5,-0.0741505884866861
1.1,0.3,3.6,-0.0777034030617567
1.1,0.3,3.7,-0.0813342091711479
1.1,0.3,3.8,-0.0850428127579397
1.1,0.3,3.9,-0.0888289699623661
1.1,0.3,4,-0.0926923923638446
1.1,0.3,4.1,-0.0966327519177823
1.1,0.3,4.2,-0.10064968558179
1.1,0.3,4.3,-0.104742799634775
1.1,0.3,4.4,-0.108911673698175
1.1,0.3,4.5,-0.113155864472153
1.1,0.3,4.6,-0.117474909201369
1.1,0.3,4.7,-0.121868328886218
1.1,0.3,4.8,-0.126335631254966
1.1,0.3,4.9,-0.130876313512255
1.1,0.3,5,-0.135489864878435
1.1,0.3,5.1,-0.140175768933013
1.1,0.3,5.2,-0.144933505774845
1.1,0.3,5.3,-0.149762554009954
1.1,0.3,5.4,-0.154662392577049
1.1,0.3,5.5,-0.159632502419593
1.1,0.3,5.6,-0.164672368011935
1.1,0.3,5.7,-0.169781478746242
